semana;empresa;total_litros;min_fecha;max_fecha;cant_prod;dummy_paro
2021-01-04;GA;3752968;2021-01-04;2021-01-10;1351;0
2021-01-11;GA;3737519;2021-01-11;2021-01-17;1349;0
2021-01-18;GA;3702121;2021-01-18;2021-01-24;1337;0
2021-01-25;GA;3698807;2021-01-25;2021-01-31;1342;0
2021-02-01;GA;3673790;2021-02-01;2021-02-07;1331;0
2021-02-08;GA;3635127;2021-02-08;2021-02-14;1327;0
2021-02-15;GA;3618933;2021-02-15;2021-02-21;1339;0
2021-02-22;GA;3642249;2021-02-22;2021-02-28;1338;0
2021-03-01;GA;3669530;2021-03-01;2021-03-07;1338;0
2021-03-08;GA;3666218;2021-03-08;2021-03-14;1336;0
2021-03-15;GA;3682882;2021-03-15;2021-03-21;1344;0
2021-03-22;GA;3716896;2021-03-22;2021-03-28;1344;0
2021-03-29;GA;3744439;2021-03-29;2021-04-04;1348;0
2021-04-05;GA;3800004;2021-04-05;2021-04-11;1346;0
2021-04-12;GA;3831733;2021-04-12;2021-04-18;1352;0
2021-04-19;GA;3936635;2021-04-19;2021-04-25;1354;0
2021-04-26;GA;3732505;2021-04-26;2021-05-02;1358;0
2021-05-03;GA;3760567;2021-05-03;2021-05-09;1310;1
2021-05-10;GA;3790064;2021-05-10;2021-05-16;1266;0
2021-05-17;GA;3583064;2021-05-17;2021-05-23;1262;0
2021-05-24;GA;3608656;2021-05-24;2021-05-30;1259;0
2021-05-31;GA;3626814;2021-05-31;2021-06-06;1292;0
2021-06-07;GA;3695282;2021-06-07;2021-06-13;1311;0
2021-06-14;GA;3685153;2021-06-14;2021-06-20;1319;0
2021-06-21;GA;3662832;2021-06-21;2021-06-27;1316;0
2021-06-28;GA;3644703;2021-06-28;2021-07-04;1331;0
2021-07-05;GA;3640608;2021-07-05;2021-07-11;1313;0
2021-07-12;GA;3638634;2021-07-12;2021-07-18;1318;0
2021-07-19;GA;3607797;2021-07-19;2021-07-25;1312;0
2021-07-26;GA;3614231;2021-07-26;2021-08-01;1321;0
2021-08-02;GA;3543491;2021-08-02;2021-08-08;1319;0
2021-08-09;GA;3585884;2021-08-09;2021-08-15;1317;0
2021-08-16;GA;3598704;2021-08-16;2021-08-22;1345;0
2021-08-23;GA;3576986;2021-08-23;2021-08-29;1337;0
2021-08-30;GA;3692120;2021-08-30;2021-09-05;1363;0
2021-09-06;GA;3759931;2021-09-06;2021-09-12;1362;0
2021-09-13;GA;3803212;2021-09-13;2021-09-19;1381;0
2021-09-20;GA;3888775;2021-09-20;2021-09-26;1385;0
2021-09-27;GA;3934171;2021-09-27;2021-10-03;1398;0
2021-10-04;GA;3977054;2021-10-04;2021-10-10;1390;0
2021-10-11;GA;4000551;2021-10-11;2021-10-17;1402;0
2021-10-18;GA;4005351;2021-10-18;2021-10-24;1391;0
2021-10-25;GA;4011577;2021-10-25;2021-10-31;1392;0
2021-11-01;GA;3968972;2021-11-01;2021-11-07;1378;0
2021-11-08;GA;3930739;2021-11-08;2021-11-14;1375;0
2021-11-15;GA;3940765;2021-11-15;2021-11-21;1385;0
2021-11-22;GA;3968328;2021-11-22;2021-11-28;1383;0
2021-11-29;GA;3996216;2021-11-29;2021-12-05;1392;0
2021-12-06;GA;4018512;2021-12-06;2021-12-12;1388;0
2021-12-13;GA;3967621;2021-12-13;2021-12-19;1393;0
2021-12-20;GA;3990442;2021-12-20;2021-12-26;1385;0
2021-12-27;GA;3908359;2021-12-27;2022-01-02;1386;0
2022-01-03;GA;3786327;2022-01-03;2022-01-09;1152;0
2022-01-10;GA;3749858;2022-01-10;2022-01-16;1146;0
2022-01-17;GA;3739878;2022-01-17;2022-01-23;1137;0
2022-01-24;GA;3706172;2022-01-24;2022-01-30;1129;0
2022-01-31;GA;3659486;2022-01-31;2022-02-06;1126;0
2022-02-07;GA;3578454;2022-02-07;2022-02-13;1124;0
2022-02-14;GA;3555209;2022-02-14;2022-02-20;1129;0
2022-02-21;GA;3473915;2022-02-21;2022-02-27;1116;0
2022-02-28;GA;3584495;2022-02-28;2022-03-06;1126;0
2022-03-07;GA;3624531;2022-03-07;2022-03-13;1125;0
2022-03-14;GA;3681390;2022-03-14;2022-03-20;1137;0
2022-03-21;GA;3695907;2022-03-21;2022-03-27;1126;0
2022-03-28;GA;3712387;2022-03-28;2022-04-03;1127;0
2022-04-04;GA;3732471;2022-04-04;2022-04-10;1118;0
2022-04-11;GA;3747093;2022-04-11;2022-04-17;1125;0
2022-04-18;GA;3694033;2022-04-18;2022-04-24;1124;0
2022-04-25;GA;3733707;2022-04-25;2022-05-01;1136;0
2022-05-02;GA;3675448;2022-05-02;2022-05-08;1132;0
2022-05-09;GA;3880163;2022-05-09;2022-05-15;1137;0
2022-05-16;GA;3794909;2022-05-16;2022-05-22;1140;0
2022-05-23;GA;3786967;2022-05-23;2022-05-29;1137;0
2022-05-30;GA;3793006;2022-05-30;2022-06-05;1144;0
2022-06-06;GA;3796190;2022-06-06;2022-06-12;1140;0
2022-06-13;GA;3753936;2022-06-13;2022-06-19;1141;0
